ID,Name,Group,Service_Line,Level,Interests,Service_Line_Preference
45,Juliette Constantine,Mentor,Deals Tax and Legal,Director,Health care;Financial Services;ESG,
46,Ben O'Sullivan,Mentor,Cyber,Senior Consultant,Foreign Affairs and Trade,
47,Nadia Lee,Mentor,Cyber,Senior Consultant,,
48,Alannah Sheaves,Mentor,Cyber,Associate Director,,
49,Neil Johns,Mentor,Deals Tax and Legal,Director,,
50,Bec Oliver,Mentor,Cyber,Manager,Learning and Development,
51,Graham Jain,Mentor,Operations Advisory,Director,,
52,Ben Oliver,Mentor,Audit and Assurance,Director,Financial Services,
53,Steve Lopez,Mentor,People and Change,Partner,Auditing,
54,Anna Folks,Mentor,Data and Cloud,Manager,Auditing;Foreign Affairs and Trade;Software Development,
55,Samson Atkins,Mentor,Cyber,Senior Consultant,Learning and Development;Data analytics;Defence,
56,Catherine Atkins,Mentor,Operations Advisory,Partner,Infrastructure;Inclusion and Diversity;Inclusion and Diversity,
57,Maria Yang,Mentor,Financial Strategy & Performance,Partner,Learning and Development;Auditing;Cost Modelling,
58,James Johns,Mentor,Financial Strategy & Performance,Associate Director,,
59,Maria Scott,Mentor,Financial Strategy & Performance,Director,Auditing,
60,Catherine Atkins,Mentor,Deals Tax and Legal,Associate Director,Infrastructure,
61,Alannah Richardson,Mentor,Data and Cloud,Manager,Data analytics,
62,Alannah Wu,Mentor,People and Change,Director,Project Management;Foreign Affairs and Trade;Inclusion and Diversity,
63,Andre Richardson,Mentor,Operations Advisory,Director,Data analytics;Foreign Affairs and Trade;Cost Modelling,
64,John Sheaves,Mentor,Deals Tax and Legal,Director,Health care,
65,Mary Yang,Mentor,Deals Tax and Legal,Director,Economic Modelling,
66,Nick Wiley,Mentor,Operations Advisory,Manager,,
67,Steve Yang,Mentor,Operations Advisory,Director,Project Management,
68,Kerry Brown,Mentor,Cyber,Partner,,
69,Catherine Folks,Mentor,Audit and Assurance,Senior Consultant,Emergency Services,
70,Neil Constantine,Mentor,Data and Cloud,Associate Director,Emergency Services;Workforce Planning;Workforce Planning,
